Name,Type,Units,Description,FullDescription
LC_FLUX_IVAR_W2,float32[15],nanomaggy^-2,Inverse variance of LC_FLUX_W2 (AB; 0 if N/A),Inverse variance of LC_FLUX_W2 (AB system; defaults to zero for unused entries)
LC_FLUX_W1,float32[15],nanomaggy,AB FLUX_W1 in up to 15 coadd epochs (0 if N/A),FLUX_W1 in each of up to fifteen unWISE coadd epochs (AB system; defaults to zero for unused entries)
LC_FLUX_W2,float32[15],nanomaggy,AB FLUX_W2 in up to 15 coadd epochs (0 if N/A),FLUX_W2 in each of up to fifteen unWISE coadd epochs (AB system; defaults to zero for unused entries)
LC_MJD_W1,float64[15],,MJD_W1 in up to 15 coadd epochs (0 if N/A),MJD_W1 in each of up to fifteen unWISE coadd epochs (defaults to zero for unused entries)
LC_MJD_W2,float64[15],,MJD_W2 in up to 15 coadd epochs (0 if N/A),MJD_W2 in each of up to fifteen unWISE coadd epochs (defaults to zero for unused entries)
LC_NOBS_W1,int16[15],,NOBS_W1 in up to 15 unWISE coadd epochs,NOBS_W1 in each of up to fifteen unWISE coadd epochs
LC_NOBS_W2,int16[15],,NOBS_W2 in up to 15 unWISE coadd epochs,NOBS_W2 in each of up to fifteen unWISE coadd epochs
LOCATION,int64,,Loc on focal plane PETAL_LOC*1000 + DEVICE_LOC,Location on the focal plane PETAL_LOC*1000 + DEVICE_LOC
LOCATION_ASSIGNED,bool,,True if assigned for the target in question,True/False for assigned/unassigned for the target in question
LRG_MASK,binary,,(lower or uppercase) Imaging mask bits relevant to LRG targets, (lower or upper case) Imaging mask bits relevant to LRG targets
MAIN_NSPEC,int32,,Nb of coadded spectra in Main survey for TID,Number of coadded spectra for this TARGETID in Main survey
MAIN_PRIMARY,bool,,True if primary coadd spectrum in Main survey,Boolean flag (True/False) for the primary coadded spectrum in Main survey
MASKBITS,int16,,Bitwise mask from imaging for potential issues,Bitwise mask from the imaging indicating potential issue or blending
MAX_MJD,float64,d,MJD of the last exposure in coadded spectrum,Maximum value of the Modified Julian Date (when the shutter was open for the last exposure used in the coadded spectrum)
MEAN_DELTA_X,float32,mm,Mean fiber diff (requested - actual CS5 X loc),Mean (over exposures) fiber difference requested - actual CS5 X location on focal plane
MEAN_DELTA_Y,float32,mm,Mean fiber diff (requested - actual CS5 Y loc),Mean (over exposures) fiber difference requested - actual CS5 Y location on focal plane
MEAN_FIBER_DEC,float64,deg,Mean (over exposures) DEC of fiber position,Mean (over exposures) DEC of actual fiber position
MEAN_FIBER_RA,float64,deg,Mean (over exposures) RA of fiber position,Mean (over exposures) RA of actual fiber position
MEAN_FIBER_X,float32,mm,Mean (over exposures) fiber CS5 X loc on FP,Mean (over exposures) fiber CS5 X location on focal plane
MEAN_FIBER_Y,float32,mm,Mean (over exposures) fiber CS5 Y loc on FP,Mean (over exposures) fiber CS5 Y location on focal plane
MEAN_MJD,float64,d,Mean of MJD of exposures in a coadded spectrum,Mean value of the Modified Julian Date (when the shutter was open for exposures used in the coadded spectrum)
MEAN_PSF_TO_FIBER_SPECFLUX,float32,,Mean over exp PSF light frac in fiber,Mean of input exposures fraction of light from point-like source captured by 1.5 arcsec diameter fiber given atmospheric seeing
MEDIAN_CALIB_COUNT_B,float64,,Median of calibrated flux in B camera,Median of calibrated flux in B camera
MEDIAN_CALIB_COUNT_R,float64,,Median of calibrated flux in R camera,Median of calibrated flux in R camera
MEDIAN_CALIB_COUNT_Z,float64,,Median of calibrated flux in Z camera,Median of calibrated flux in Z camera
MEDIAN_CALIB_SNR_B,float64,,Median(S/N) of calibrated flux in B camera,Median(S/N) of calibrated flux in B camera
MEDIAN_CALIB_SNR_R,float64,,Median(S/N) of calibrated flux in R camera,Median(S/N) of calibrated flux in R camera
MEDIAN_CALIB_SNR_Z,float64,,Median(S/N) of calibrated flux in Z camera,Median(S/N) of calibrated flux in Z camera
MEDIAN_FFLAT_COUNT_B,float64,,Median of fiber-flatfielded counts in B camera,Median of fiber-flatfielded counts in B camera
MEDIAN_FFLAT_COUNT_R,float64,,Median of fiber-flatfielded counts in R camera,Median of fiber-flatfielded counts in R camera
MEDIAN_FFLAT_COUNT_Z,float64,,Median of fiber-flatfielded counts in Z camera,Median of fiber-flatfielded counts in Z camera
MEDIAN_FFLAT_SNR_B,float64,,Median(S/N) of B cam fiberflatfielded counts,Median(S/N) of fiberflatfielded counts in B camera
MEDIAN_FFLAT_SNR_R,float64,,Median(S/N) of R cam fiberflatfielded counts,Median(S/N) of fiberflatfielded counts in R camera
MEDIAN_FFLAT_SNR_Z,float64,,Median(S/N) of Z cam fiberflatfielded counts,Median(S/N) of fiberflatfielded counts in Z camera
MEDIAN_RAW_COUNT_B,float64,,Median of raw counts in B camera,Median of raw counts in B camera
MEDIAN_RAW_COUNT_R,float64,,Median of raw counts in R camera,Median of raw counts in R camera
MEDIAN_RAW_COUNT_Z,float64,,Median of raw counts in Z camera,Median of raw counts in Z camera
MEDIAN_RAW_SNR_B,float64,,Median(raw signal/noise) in B camera,Median(raw signal/noise) in B camera
MEDIAN_RAW_SNR_R,float64,,Median(raw signal/noise) in R camera,Median(raw signal/noise) in R camera
MEDIAN_RAW_SNR_Z,float64,,Median(raw signal/noise) in Z camera,Median(raw signal/noise) in Z camera
MEDIAN_SKYSUB_COUNT_B,float64,,Median of sky-subtracted counts in B camera,Median of sky-subtracted counts in B camera
MEDIAN_SKYSUB_COUNT_R,float64,,Median of sky-subtracted counts in R camera,Median of sky-subtracted counts in R camera
MEDIAN_SKYSUB_COUNT_Z,float64,,Median of sky-subtracted counts in Z camera,Median of sky-subtracted counts in Z camera
MEDIAN_SKYSUB_SNR_B,float64,,Median(S/N) of sky-subtracted counts in B cam,Median(S/N) of sky-subtracted counts in B camera
MEDIAN_SKYSUB_SNR_R,float64,,Median(S/N) of sky-subtracted counts in R cam,Median(S/N) of sky-subtracted counts in R camera
MEDIAN_SKYSUB_SNR_Z,float64,,Median(S/N) of sky-subtracted counts in Z cam,Median(S/N) of sky-subtracted counts in Z camera
MIN_MJD,float64,d,MJD of the first exposure in coadded spectrum,Minimum value of the Modified Julian Date (when the shutter was open for the first exposure used in the coadded spectrum)
MJD,float64,d,Modified Julian Date when shutter open for exp,Modified Julian Date when shutter was opened for this exposure
MJD_BEGIN,float64,d,Start of the allowed observing window (MJD),Start of the allowed observing window for this target (Modified Julian Date)
MJD_END,float64,d,End of the allowed observing window (MJD),End of the allowed observing window for this target (Modified Julian Date)
mod_success_rate,float64,,Expected spectroscopic success rate given the target and observation properties,Expected spectroscopic success rate given the target and observation properties
MORPHTYPE,char[4],,Imaging Survey morphological type from Tractor,Imaging Surveys morphological type from Tractor
MWS_TARGET,int64,,Milky Way Survey targeting bits,Milky Way Survey targeting bits
MW_TRANSMISSION_G,float32,,Milky Way dust transmission in LS g-band,Milky Way dust transmission in LS g-band
MW_TRANSMISSION_R,float32,,Milky Way dust transmission in LS r-band,Milky Way dust transmission in LS r-band
MW_TRANSMISSION_W1,float32,,Milky Way dust transmission in WISE W1,Milky Way dust transmission in WISE W1
MW_TRANSMISSION_W2,float32,,Milky Way dust transmission in WISE W2,Milky Way dust transmission in WISE W2
MW_TRANSMISSION_W3,float32,,Milky Way dust transmission in WISE W3,Milky Way dust transmission in WISE W3
MW_TRANSMISSION_W4,float32,,Milky Way dust transmission in WISE W4,Milky Way dust transmission in WISE W4
MW_TRANSMISSION_Z,float32,,Milky Way dust transmission in LS z-band,Milky Way dust transmission in LS z-band
NCOEFF,int64,,Number of Redrock template coefficients,Number of Redrock template coefficients
NEAR_RADIUS,float32,arcsec,Radius used to set the NEAR_BRIGHT_OBJECT bit,Radius used to set the ``NEAR_BRIGHT_OBJECT`` bit in the ``DESI_TARGET`` bitmask.
NIGHT,int32,,YYYYMMDD date at start of this observing night,Night of observation (YYYYMMDD) starting at local noon before observations start
NOBS_G,int16,,Number of images for central pixel in g-band,Number of images for central pixel in g-band
NOBS_R,int16,,Number of images for central pixel in r-band,Number of images for central pixel in r-band
NOBS_Z,int16,,Number of images for central pixel in z-band,Number of images for central pixel in z-band
NPIXELS,int64,,Number of unmasked pixels used in Redrock fit,Number of unmasked pixels contributing to the Redrock fit
NTILE,int64,,Number of tiles target was available on,Number of tiles target was available on
NUMOBS,int64,,Nb of spectro observations of this given tile,"Number of spectroscopic observations (on this specific, single tile)"
NUMOBS_INIT,int64,,Initial number of observations for target,Initial number of observations for target calculated across target selection bitmasks and OBSCONDITIONS
NUMOBS_MORE,int64,,Number of additional observations needed,Number of additional observations needed
NUMTARGET,int16,,Total number of targets covered by positioner,Total number of targets that this positioner covered
NUM_ITER,int64,,Number of positioner iterations,Number of positioner iterations
NX,float64,,Estimated mean number density given the redshift and number of overlapping tiles (NTILE),Estimated mean number density given the redshift and number of overlapping tiles (NTILE)
NZ,float64,h^3 Mpc^-3,Comoving number density of tracer at given z,"The comoving number density of the tracer at the given redshift, assuming complete sample"
O2C,float64,,(lower or uppercase) Criterion for strength of OII emission for ELG,(lower or uppercase) The criteria for assessing strength of OII emission for ELG observations
OBJID,int32,,Imaging Surveys OBJID on brick (BRICK_OBJID),Imaging Surveys OBJID on that brick (renamed BRICK_OBJID)
OBJTYPE,char[3],,"Object type: TGT, SKY, NON, BAD","Object type: TGT, SKY, NON, BAD"
OBSCONDITIONS,int32,,Bitmask of allowed observing conditions,Bitmask of allowed observing conditions
OCLAYER,char[6],,DARK for dark time or BRIGHT for any time,Either DARK for dark-time or BRIGHT to observe in either bright- or dark-time
OIII_CHI2,float32,,Reduced chi2 of the fit for the [OIII] doublet,Reduced chi2 of the fit for the [OIII] doublet
OIII_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for [OIII] doublet fit (constant),Continuum used for the fitting (fixed value) for the [OIII] doublet
OIII_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of [OIII] doublet continuum,Inverse variance of the continuum for the [OIII] doublet
OIII_EW,float32,Angstrom,[OIII] doublet rest-frame equivalent width,Fitted rest-frame equivalent width for the [OIII] doublet
OIII_EW_IVAR,float32,Angstrom^-2,Inverse variance of fitted OIII_EW,Inverse variance of the fitted rest-frame equivalent width for the [OIII] doublet
OIII_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the [OIII] doublet,Fitted flux for the [OIII] doublet
OIII_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted [OIII] doublet flux,Inverse variance of the fitted flux for the [OIII] doublet
OIII_NDOF,int32,,Nb of degrees of freedom of [OIII] doublet fit,Number of degrees of freedom of the fit for the [OIII] doublet
OIII_SHARE,float32,,"F1/(F0+F1) for [OIII] w/ F0, F1 each line flux","F1/(F0+F1) for the [OIII] doublet, where F0 and F1 are the individual line fluxes (SHARE value fixed during the fit)"
OIII_SHARE_IVAR,float32,,Infinity because SHARE is fixed during the fit,"Infinite value, as SHARE is fixed during the fit"
OIII_SIGMA,float32,Angstrom,Fitted [OIII] line width in the observed frame,Fitted line width (in the observed frame) for the [OIII] doublet
OIII_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of OIII_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the [OIII] doublet
OII_CHI2,float32,,Reduced chi2 of the fit for the [OII] doublet,Reduced chi2 of the fit for the [OII] doublet
OII_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for [OII] doublet fit (constant),Continuum used for the fitting (fixed value) for the [OII] doublet
OII_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of [OII] doublet continuum,Inverse variance of the continuum for the [OII] doublet
OII_EW,float32,Angstrom,[OII] doublet rest-frame equivalent width,Fitted rest-frame equivalent width for the [OII] doublet
OII_EW_IVAR,float32,Angstrom^-2,Inverse variance of fitted OII_EW,Inverse variance of the fitted rest-frame equivalent width for the [OII] doublet
OII_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the [OII] doublet,Fitted flux for the [OII] doublet
OII_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted [OII] doublet flux,Inverse variance of the fitted flux for the [OII] doublet
OII_NDOF,int32,,Nb of degrees of freedom of [OII] doublet fit,Number of degrees of freedom of the fit for the [OII] doublet
OII_SHARE,float32,,"F1/(F0+F1) for [OII] w/ F0, F1 each line flux","Fitted F1/(F0+F1) for the [OII] doublet, where F0 and F1 are the individual line fluxes"
OII_SHARE_IVAR,float32,,Inverse variance of OII_SHARE value,Inverse variance of the fitted F1/(F0+F1) for the [OII] doublet
OII_SIGMA,float32,Angstrom,Fitted [OII] line width in the observed frame,Fitted line width (in the observed frame) for the [OII] doublet
OII_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of OII_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the [OII] doublet
PARALLAX,float32,mas,Reference catalog parallax,Reference catalog parallax
PARALLAX_IVAR,float32,mas^-2,Inverse variance of PARALLAX,Inverse variance of PARALLAX
PETAL_LOC,int16,,Petal location [0-9],Petal location [0-9]
PHOTSYS,char[1],,Photom system: N for MzLS/BASS; S for DECaLS,"N for the MzLS/BASS photometric system, S for DECaLS"
PLATE_DEC,float64,deg,Barycentric Declination for PlateMaker (ICRS),Barycentric Declination in ICRS to be used by PlateMaker
PLATE_RA,float64,deg,Barycentric RA for PlateMaker (ICRS),Barycentric Right Ascension in ICRS to be used by PlateMaker
PLATE_REF_EPOCH,float64,yr,Copy of REF_EPOCH for PlateMaker,Copy of REF_EPOCH to be used by PlateMaker
PMDEC,float32,mas yr^-1,Proper motion in the +Dec direction,Proper motion in the +Dec direction
PMDEC_IVAR,float32,yr^2 mas^-2,Inverse variance of PMDEC,Inverse variance of PMDEC
PMRA,float32,mas yr^-1,"Proper motion in +RA direction, incl. cos(dec)",proper motion in the +RA direction (already including cos(dec))
PMRA_IVAR,float32,yr^2 mas^-2,Inverse variance of PMRA,Inverse variance of PMRA
PRIORITY,int32,,Target current priority,Target current priority
PRIORITY_ASSIGNED,int32,,(only for data) PRIORITY of the target that was assigned to the given FIBER and TILEID (redundant with PRIORITY in the random catalogs),(only for data) PRIORITY of the target that was assigned to the given FIBER and TILEID (redundant with PRIORITY in the random catalogs)
PRIORITY_INIT,int64,,Target initial priority from target selection,Target initial priority from target selection bitmasks and OBSCONDITIONS
PROBA_RF,float32,,Probability of being a QSO from Random Forest,Probability of being a quasar generated by the quasar Random Forest targeting algorithm.
PROB_OBS,float64,,Probability of assignment in alt histories,The number alternative assignment histories that the target was assigned in divided by 128
PROGRAM,char[6],,"DESI program type: BRIGHT, DARK, BACKUP, OTHER","DESI program type - BRIGHT, DARK, BACKUP, OTHER"
POSITION,float64[3],,"XYZ comoving distances given for FKP weight in mocks","XYZ comoving distances given for FKP weight in mocks"
PSFDEPTH_G,float32,nanomaggy^-2,PSF-based depth in g-band,PSF-based depth in g-band
PSFDEPTH_R,float32,nanomaggy^-2,PSF-based depth in r-band,PSF-based depth in r-band
PSFDEPTH_W1,float32,nanomaggy^-2,PSF-based depth in WISE W1,PSF-based depth in WISE W1
PSFDEPTH_W2,float32,nanomaggy^-2,PSF-based depth in WISE W2,PSF-based depth in WISE W2
PSFDEPTH_Z,float32,nanomaggy^-2,PSF-based depth in z-band,PSF-based depth in z-band
PSFSIZE_G,float32,arcsec,Median g-band PSF size of BRICK_PRIMARY objs,Median PSF size evaluated at the BRICK_PRIMARY objects in this brick in g-band
PSFSIZE_R,float32,arcsec,Median r-band PSF size of BRICK_PRIMARY objs,Median PSF size evaluated at the BRICK_PRIMARY objects in this brick in r-band
PSFSIZE_Z,float32,arcsec,Median z-band PSF size of BRICK_PRIMARY objs,Median PSF size evaluated at the BRICK_PRIMARY objects in this brick in z-band
PSF_TO_FIBER_SPECFLUX,float64,,PSF light fraction in fiber (given seeing),Fraction of light from point-like source captured by 1.5 arcsec diameter fiber given atmospheric seeing
QSO_MASKBITS,int32,,QSO Bitwise mask from imaging for potential issues, QSO Bitwise mask from the imaging indicating potential issue or blending
R_MAG_ABS,float32,,Absolute magnitude in r band in mocks,Absolute magnitude in r band in mocks
R_MAG_APP,float32,,Apparent magnitude in r band in mocks,Apparent magnitude in r band in mocks
RA,float64,deg,Barycentric Right Ascension in ICRS,Barycentric Right Ascension in ICRS
RA_IVAR,float32,deg^-2,Inv variance of RA; w/o cos(dec) or astrom err,"Inverse variance of RA (no cosine term!), excluding astrometric calibration errors"
RAN_NUM_0_1,float32,,Random number between 0 and 1,Random number between 0 and 1
REF_CAT,char[2],,"Ref catalog (T2=Tycho-2, G2=Gaia DR2, L2=SGA)","Reference catalog source for star: T2 for Tycho-2, G2 for Gaia DR2, L2 for the SGA, empty otherwise"
REF_EPOCH,float32,yr,Reference epoch for Gaia/Tycho astrometry,Reference epoch for Gaia/Tycho astrometry. Typically 2015.5 for Gaia
REF_ID,int64,,Tyc1*1e6+Tyc2*10+Tyc3 (Tycho); sourceid (Gaia),"Tyc1*1,000,000+Tyc2*10+Tyc3 for Tycho-2; ``sourceid`` for Gaia DR2"
REF_MAG,float32,mag,"Mag for IN_RADIUS: G (Gaia); VT,HP,BT (Tycho)","Magnitude used to calculate ``IN_RADIUS``; typically, in order of preference, G-band for Gaia or VT then HP then BT for Tycho."
RELEASE,int16,,Imaging surveys release ID,Imaging surveys release ID
REST_GMR_0P0,float64,,Rest-frame g-r colour at redshift=0.0,Rest-frame g-r colour at redshift=0.0
REST_GMR_0P1,float64,,Rest-frame g-r colour at redshift=0.1,Rest-frame g-r colour at redshift=0.1
RMS_DELTA_X,float32,mm,RMS (over exposures) fiber CS5 X loc on FP,RMS (over exposures) of the fiber difference between measured and requested CS5 X location on focal plane
RMS_DELTA_Y,float32,mm,RMS (over exposures) fiber CS5 Y loc on FP,RMS (over exposures) of the fiber difference between measured and requested CS5 Y location on focal plane
RSDZ,float32,,Redshift in mocks that includes RSD effects,Redshift in mocks that includes RSD effects
ROSETTE_NUMBER,int32,,Rosette number ID [0-19],Rosette number ID [0-19]
ROSETTE_R,float64,deg,Radius from the rosette center to the target,Radius from the center of the rosette to the target
SCND_ORDER,int32,,Nb of row for target entry in secondary file,Number of row for target entry in secondary file (placeholder; needed by fiberassign)
SCND_TARGET,int64,,Target select. bitmask for secondary programs,Target selection bitmask for secondary programs
SEEING_ETC,float64,arcsec,Average FWHM atm seeing during exposure (ETC),Average FWHM atmospheric seeing during this exposure as measured by ETC
SEEING_GFA,float64,arcsec,Average FWHM atm seeing during exposure (GFA),Average FWHM atmospheric seeing during this exposure as measured by GFA
SERSIC,float32,,Sersic profile power-law index (MORPHTYPE=SER),Power-law index for the Sersic profile model (MORPHTYPE=SER)
SERSIC_IVAR,float32,,Inverse variance of SERSIC,Inverse variance of SERSIC
SHAPEDEV_E1,float32,,deVaucouleurs shape fit ellipticity param e1,deVaucouleurs shape fit ellipticity parameter e1
SHAPEDEV_E1_IVAR,float32,,Inverse variance of SHAPEDEV_E1,Inverse variance of SHAPEDEV_E1
SHAPEDEV_E2,float32,,deVaucouleurs shape fit ellipticity param e2,deVaucouleurs shape fit ellipticity parameter e2
SHAPEDEV_E2_IVAR,float32,,Inverse variance of SHAPEDEV_E2,Inverse variance of SHAPEDEV_E2
SHAPEDEV_R,float32,arcsec,deVaucouleurs shape half-light radius,deVaucouleurs shape half-light radius
SHAPEDEV_R_IVAR,float32,arcsec^-2,Inverse variance of SHAPEDEV_R,Inverse variance of SHAPEDEV_R
SHAPEEXP_E1,float32,,Exponential shape fit ellipticity param e1,Imaging exponential shape fit ellipticity parameter e1
SHAPEEXP_E1_IVAR,float32,,Inverse variance of SHAPEEXP_E1,Inverse variance of SHAPEEXP_E1
SHAPEEXP_E2,float32,,Exponential shape fit ellipticity param e2,Imaging exponential shape fit ellipticity parameter e2
SHAPEEXP_E2_IVAR,float32,,Inverse variance of SHAPEEXP_E2,Inverse variance of SHAPEEXP_E2
SHAPEEXP_R,float32,arcsec,Imaging exponential shape half-light radius,Imaging exponential shape half-light radius
SHAPEEXP_R_IVAR,float32,arcsec^-2,Inverse variance of SHAPEEXP_R,Inverse variance of SHAPEEXP_R
SHAPE_E1,float32,,Ellipticity param e1 of galaxy model MORPHTYPE,Ellipticity component 1 of galaxy model for galaxy type MORPHTYPE
SHAPE_E1_IVAR,float32,,Inverse variance of SHAPE_E1,Inverse variance of SHAPE_E1
SHAPE_E2,float32,,Ellipticity param e2 of galaxy model MORPHTYPE,Ellipticity component 2 of galaxy model for galaxy type MORPHTYPE
SHAPE_E2_IVAR,float32,,Inverse variance of SHAPE_E2,Inverse variance of SHAPE_E2
SHAPE_R,float32,arcsec,Half-light radius of galaxy model (greater than 0),Half-light radius of galaxy model (greater than 0)
SHAPE_R_IVAR,float32,arcsec^-2,Inverse variance of SHAPE_R,Inverse variance of SHAPE_R
SIGMA_MGII,float32,Angstrom,Fitted param SIGMA (linewidth) by MgII fitter,Fitted parameter SIGMA (linewidth) by MgII fitter (in angstrom?)
SKY_MAG_AB_GFA,float64,mag arcsec^-2,Sky background in GFA passband,"Sky background in the GFA passband, measured from the GFA backgrounds."
SKY_MAG_G_GFA,float64,mag arcsec^-2,Sky background in g passband,"Sky background measured in the spectroscopy integrated over the DECam g passband, AB mags."
SKY_MAG_R_GFA,float64,mag arcsec^-2,Sky background in r passband,"Sky background measured in the spectroscopy integrated over the DECam r passband, AB mags."
SKY_MAG_Z_GFA,float64,mag arcsec^-2,Sky background in z passband,"Sky background measured in the spectroscopy integrated over the DECam z passband, AB mags."
SPECTRO,int16,,Spectrograph number [0-9],Spectrograph number [0-9]
SPECTROID,int32,,Hardware ID of spectrograph (not used),Hardware ID of spectrograph (not used)
SPECTYPE,char[6],,"Best-fit spectral type: GALAXY, QSO, STAR","Spectral type of Redrock best fit template (e.g. GALAXY, QSO, STAR)"
SPGRPVAL,int32,,Value by which spectra are grouped for a coadd,Value by which spectra are grouped for a coadd (e.g. a YEARMMDD night)
STARDENS,float32,,Density (deg-2) of stars in the position from Gaia limited to point-like sources in the range 12 < G < 17,Density (deg-2) of stars in the position from Gaia limited to point-like sources in the range 12 < G < 17 calculated using the desitarget randoms.stellar_density function
STATUS,int32,,Bit column present in mocks to select according to nz or footprint,Bit column present in mocks to select according to nz or footprint
STD_FIBER_DEC,float32,arcsec,Std deviation (over exposures) of fiber DEC,Standard deviation (over exposures) of DEC of actual fiber position
STD_FIBER_RA,float32,arcsec,Std deviation (over exposures) of fiber RA,Standard deviation (over exposures) of RA of actual fiber position
SUBPRIORITY,float64,,Random subpriority [0-1) to break assign ties,Random subpriority [0-1) to break assignment ties
SUBTYPE,char[20],,Spectral subtype,Spectral subtype
SUM_CALIB_COUNT_B,float64,,Sum of calibrated flux in B camera,Sum of calibrated flux in B camera
SUM_CALIB_COUNT_R,float64,,Sum of calibrated flux in R camera,Sum of calibrated flux in R camera
SUM_CALIB_COUNT_Z,float64,,Sum of calibrated flux in Z camera,Sum of calibrated flux in Z camera
SUM_FFLAT_COUNT_B,float64,,Sum of fiber-flatfielded counts B camera,Sum of fiber-flatfielded counts B camera
SUM_FFLAT_COUNT_R,float64,,Sum of fiber-flatfielded counts R camera,Sum of fiber-flatfielded counts R camera
SUM_FFLAT_COUNT_Z,float64,,Sum of fiber-flatfielded counts Z camera,Sum of fiber-flatfielded counts Z camera
SUM_RAW_COUNT_B,float64,,Sum of raw counts in B camera,Sum of raw counts in B camera
SUM_RAW_COUNT_R,float64,,Sum of raw counts in R camera,Sum of raw counts in R camera
SUM_RAW_COUNT_Z,float64,,Sum of raw counts in Z camera,Sum of raw counts in Z camera
SUM_SKYSUB_COUNT_B,float64,,Sum of sky-subtracted counts in B camera,Sum of sky-subtracted counts in B camera
SUM_SKYSUB_COUNT_R,float64,,Sum of sky-subtracted counts in R camera,Sum of sky-subtracted counts in R camera
SUM_SKYSUB_COUNT_Z,float64,,Sum of sky-subtracted counts in Z camera,Sum of sky-subtracted counts in Z camera
SURVEY,char[7],,Survey name,"Survey name: cmx, sv1, sv2, sv3, main"
SV1_BGS_TARGET,int64,,BGS (bright time) target sel bitmask for SV1,BGS (bright time program) target selection bitmask for SV1
SV1_DESI_TARGET,int64,,DESI (dark time) target sel bitmask for SV1,DESI (dark time program) target selection bitmask for SV1
SV1_MWS_TARGET,int64,,MWS (bright time) target sel bitmask for SV1,MWS (bright time program) target selection bitmask for SV1
SV1_SCND_TARGET,int64,,Secondary target selection bitmask for SV1,Secondary target selection bitmask for SV1
SV2_BGS_TARGET,int64,,BGS (bright time) target sel bitmask for SV2,BGS (bright time program) target selection bitmask for SV2
SV2_DESI_TARGET,int64,,DESI (dark time) target sel bitmask for SV2,DESI (dark time program) target selection bitmask for SV2
SV2_MWS_TARGET,int64,,MWS (bright time) target sel bitmask for SV2,MWS (bright time program) target selection bitmask for SV2
SV2_SCND_TARGET,int64,,Secondary target selection bitmask for SV2,Secondary target selection bitmask for SV2
SV3_BGS_TARGET,int64,,BGS (bright time) target sel bitmask for SV3,BGS (bright time program) target selection bitmask for SV3
SV3_DESI_TARGET,int64,,DESI (dark time) target sel bitmask for SV3,DESI (dark time program) target selection bitmask for SV3
SV3_MWS_TARGET,int64,,MWS (bright time) target sel bitmask for SV3,MWS (bright time program) target selection bitmask for SV3
SV3_SCND_TARGET,int64,,Secondary target selection bitmask for SV3,Secondary target selection bitmask for SV3
SV_NSPEC,int32,,Number of coadded spectra in SV (SV1+2+3),Number of coadded spectra for this TARGETID in SV (SV1+2+3)
SV_PRIMARY,bool,,True if primary coadded spectrum in SV(1+2+3),Boolean flag (True/False) for the primary coadded spectrum in SV (SV1+2+3)
TARGETID,int64,,Unique DESI target ID,Unique DESI target ID
TARGETID_DATA,int64,,For randoms and mocks: Unique DESI target ID of associated TILELOCID,For randoms and mocks: Unique DESI target ID of associated TILELOCID
TARGET_DEC,float64,deg,Barycentric declination in ICRS,Barycentric declination in ICRS
TARGET_RA,float64,deg,Barycentric right ascension in ICRS,Barycentric right ascension in ICRS
TARGET_STATE,char[*],,Combination of target class+current obs state,Combination of target class and its current observational state
TILEDEC,float64,deg,Barycentric declination of tile center in ICRS,Barycentric declination of tile center in ICRS
TILEID,int32,,Unique DESI tile ID,Unique DESI tile ID
TILELOCID,int64,,Is 10000*TILEID+LOCATION,Is 10000*TILEID+LOCATION
TILELOCIDS,char[*],,Available TILELOCIDs for a target joint by -,TILELOCIDs that the target was available for separated by -
TILELOCID_ASSIGNED,int64,,1 if the TILELOCID is assigned (0=unassigned),0/1 for unassigned/assigned for TILELOCID in question (it could have been assigned to a different target)
TILERA,float64,deg,Barycentric R.A. of tile center in ICRS,Barycentric Right Ascension of tile center in ICRS
TILES,char[*],,Available TILEIDs for a target joined by -,"TILEIDs of those tile, in string form separated by -"
TIMESTAMP,str,s,UTC/ISO time when the target state was updated,UTC/ISO time at which the target state was updated
TOOID,int64,,ID for this target assigned by the CHECKER,ID for this target assigned by the ``CHECKER``
TOO_PRIO,char[2],,High-priority (HI) or low-priority (LO) target,Either HI for a very-high-priority target or LO for a very-low-priority target
TOO_TYPE,char[5],,Type: TILE=special tile; FIBER=fiber-override,Either TILE for a special tile or FIBER for a fiber-override ToO
TRUEZ,float32,,True redshift in a galaxy mock catalog,True redshift in a galaxy mock catalog
TSNR2_BGS,float32,,"BGS template (S/N)^2 summed over B,R,Z","BGS template (S/N)^2 summed over B,R,Z"
TSNR2_BGS_B,float32,,BGS B template (S/N)^2,BGS B template (S/N)^2
TSNR2_BGS_R,float32,,BGS R template (S/N)^2,BGS R template (S/N)^2
TSNR2_BGS_Z,float32,,BGS Z template (S/N)^2,BGS Z template (S/N)^2
TSNR2_ELG,float32,,"ELG template (S/N)^2 summed over B,R,Z","ELG template (S/N)^2 summed over B,R,Z"
